benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/170055892.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2,LRB_VSIDS_2_init,5000.08,timeout (wallclock),UNKNOWN,0.0209369,TIMEOUT
sat/170055892.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2,default_drup,5000.02,timeout (wallclock),UNKNOWN,0.0295731,TIMEOUT
sat/170055892.cnf.bz2,MapleLCMDistChronoBT-DL-Scavel01,default,5000.02,timeout (wallclock),UNKNOWN,0.0233309,TIMEOUT
sat/170055892.cnf.bz2,MapleLCMDistChronoBT-DL-Scavel02,default,5000.02,timeout (wallclock),UNKNOWN,0.017372,TIMEOUT
sat/170055892.cnf.bz2,MapleLCMDistChronoBT-DL-f2trc,default,5000.11,timeout (cpu),UNKNOWN,0.023714,TIMEOUT
sat/170055892.cnf.bz2,MapleLCMDistChronoBT-DL-v3,default,5000.01,timeout (wallclock),UNKNOWN,0.018787,TIMEOUT
sat/170055892.cnf.bz2,MapleLCMDistChronoBT-f2trc,default,5000.01,timeout (wallclock),UNKNOWN,0.0276189,TIMEOUT
sat/170055892.cnf.bz2,MapleLCMDistChronoBT-f2trc-s,default,2371.35,complete,SAT-VERIFIED,0.017991,--
sat/170055892.cnf.bz2,Maple_CM+dist,default,5000.01,timeout (wallclock),UNKNOWN,0.0211679,TIMEOUT
sat/170055892.cnf.bz2,Maple_CM+dist+sattime2s+-,default,0.013339,complete,SAT-VERIFIED,0.0108969,--
sat/170055892.cnf.bz2,Maple_CM+dist+simp2--,default,5000.06,timeout (wallclock),UNKNOWN,0.0306319,TIMEOUT
sat/170055892.cnf.bz2,Maple_CMused+dist,default,5000.03,timeout (wallclock),UNKNOWN,0.0212371,TIMEOUT
sat/170055892.cnf.bz2,Maple_mix,default,5000.01,timeout (wallclock),UNKNOWN,0.026856,TIMEOUT
sat/170055892.cnf.bz2,Maple_simp,default,5000.1,timeout (wallclock),UNKNOWN,0.02524,TIMEOUT
sat/170055892.cnf.bz2,ParaFROST,default,5000.02,timeout (wallclock),UNKNOWN,0.0170339,TIMEOUT
sat/170055892.cnf.bz2,ParaFROST_CBT,default,5000.08,timeout (wallclock),UNKNOWN,0.0154679,TIMEOUT
sat/170055892.cnf.bz2,PauSat,default,5000.02,timeout (wallclock),UNKNOWN,0.020397,TIMEOUT
sat/170055892.cnf.bz2,PauSat_noproof,default,5000.11,timeout (wallclock),UNKNOWN,0.0264179,TIMEOUT
sat/170055892.cnf.bz2,Relaxed_LCMDCBDL,default,107.808,complete,SAT-VERIFIED,0.023738,--
sat/170055892.cnf.bz2,Relaxed_LCMDCBDL_newTech,default,281.305,complete,SAT-VERIFIED,0.0227761,--
sat/170055892.cnf.bz2,SLIME,default,4835.21,complete,SAT-VERIFIED,0.024172,--
sat/170055892.cnf.bz2,Top16-Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.04,timeout (wallclock),UNKNOWN,0.0250179,TIMEOUT
sat/170055892.cnf.bz2,Top24-Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.03,timeout (wallclock),UNKNOWN,0.0238031,TIMEOUT
sat/170055892.cnf.bz2,Top36-Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.03,timeout (wallclock),UNKNOWN,0.012524,TIMEOUT
sat/170055892.cnf.bz2,Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.08,timeout (wallclock),UNKNOWN,0.028253,TIMEOUT
sat/170055892.cnf.bz2,cadical-alluip,default,54.3518,complete,SAT-VERIFIED,0.019195,--
