32076b11a5d315b752dfdc106c861cb1 sat 4660.866 timeout 1212.646 2845.645 timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
bb15e9530d42642f3f9b9551364d4b32 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
760d32fe356e344f46a97fed6f51687b unsat 957.688 957.752 140.669 284.124 failed 372.221 730.399 325.99 321.279 389.905 357.113 599.404 383.041 64.126
552b8976b37b0d8b58bc8edad91c5695 sat 1959.319 1508.137 345.39 568.007 302.9 4731.529 1728.112 642.163 657.235 timeout timeout timeout 671.544 782.473
8bda0a67cfed5657a072d53e571d20ef sat 3417.015 3884.562 636.139 1293.488 206.832 timeout timeout 557.955 537.046 timeout timeout timeout 3388.598 1154.573
8a37400e66bf1cebf0145e95ee95da7f unsat timeout timeout 4689.372 3730.284 timeout timeout 4093.348 timeout timeout timeout timeout 3293.076 timeout timeout
964f79e4878eb131f0c370bc5d2f2a0b sat timeout 4734.779 3149.341 2207.345 407.336 timeout timeout timeout timeout timeout timeout timeout timeout 1561.866
08e151e72fe10402a49463171aa557e8 sat timeout timeout 1292.614 3415.698 103.371 1256.283 131.303 1554.955 1467.247 timeout timeout 1249.286 4609.454 3001.542
6eb486d72b1bfd46e22d20e366e85597 sat timeout timeout 2084.1 3777.004 1123.695 timeout timeout 1679.821 1729.531 timeout timeout timeout 3847.543 3641.846
7bcbe64c5bdad9b53ca0aae0000e3bcf sat 1419.323 1399.112 timeout timeout timeout timeout 1799.542 timeout timeout timeout timeout timeout timeout 2404.883
3454285436b59c94031a9d8831dae833 sat 307.173 142.16 118.555 104.039 1497.168 1906.563 1210.461 1043.364 1037.973 197.512 1152.498 1298.459 1794.325 77.713
2e0d0b143cff2105aa07d57e30ea5d74 sat 244.226 330.254 151.523 111.872 397.986 160.64 175.677 159.157 165.573 190.137 903.524 128.302 1223.559 69.102
c1b5c6d416294690d5be8971d53fc8b7 sat 3553.547 2056.509 1395.204 1553.896 3371.599 timeout 610.669 timeout timeout timeout timeout 1041.6 timeout timeout
1364901fb87afe648b513e945ddeed91 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
3403ba1f14b27a23c95527c490058766 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
e6015c934b9e0ec60d2debb8f3779057 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
031757c0a6797eddf3e84bcefbbdb753 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
0f8d82f07dc5353a4f6e0c699abb8c52 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
bb12ece2fc8c01870418908a3dd8341f unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
a81936d2c4de462ab55b6e4660f6f68d unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
14970e78625100605d22c9916dd0a476 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
180e6d8b61fe6bab26126b78591e324e sat 630.705 474.17 117.415 260.128 92.428 2315.341 1272.165 360.369 357.61 81.498 123.046 1257.968 660.702 101.871
e8a188835a2623fb53f68b374a18edf0 sat 1129.514 876.355 170.376 272.288 272.927 3887.016 2358.863 480.772 495.135 86.292 378.238 2692.832 2245.664 1118.286
d9edec809b84b6a3ce31e623026888bc unsat 2877.515 2726.147 256.794 387.493 1535.549 timeout timeout 1101.568 1084.677 338.529 2246.986 3482.565 1618.697 710.195
d96b51b728856b588991af6bb20bdde1 sat 1985.288 3728.708 169.857 474.32 2283.53 timeout 4301.885 477.745 475.655 236.052 657.328 3681.352 2620.155 4749.552
792b33e1963e294682d2188f36554008 sat 571.115 626.202 155.569 262.486 324.595 3752.054 1834.746 139.396 143.801 120.325 223.965 2367.696 timeout 262.296
533017e0f42d8246c7ae140313a84161 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
615c30ee68ba7f9007a4511f7e8ab939 sat 509.866 336.452 63.517 131.525 90.966 18.907 74.672 287.655 286.622 44.561 96.667 47.242 1279.128 81.57
9e7fcd9893a2abee4d76bc3b57d9ffa1 sat 1437.907 484.449 149.191 147.039 569.824 45.048 100.853 1355.522 1361.821 118.762 177.96 59.586 2802.271 203.198
d60f56735dc8e89d7d91a01f4340df0c unsat timeout timeout 1612.654 1367.857 timeout timeout timeout timeout timeout 769.793 timeout timeout timeout timeout
04557a22f623dcbae86173fced057c99 unsat 1544.358 1542.748 146.93 199.616 1951.817 31.403 144.987 616.904 592.616 124.502 404.41 84.669 574.16 181.346
fcbef8eb7d8cd4f76fc455a25c0d3065 unsat 1082.006 1122.05 113.194 191.5 529.112 33.122 144.219 447.486 449.307 103.628 250.425 77.732 483.642 276.579
b5d9a62d4b2f44b9eb3f6b3e48083ef4 unsat 1493.97 1454.56 162.21 timeout 1172.791 3686.475 3078.784 570.615 583.532 114.258 1480.997 2540.601 384.681 536.406
5d3f7a547ff9818a05747963c1930f71 unsat 616.699 527.536 81.008 136.252 292.543 23.904 113.556 251.326 246.339 50.974 136.597 59.775 257.239 85.219
f70ef02944377b624faa46b14132983c unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
cd864fc43dfa07c29d9c6201d107160b unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
4dd165fbd1678001e130c89cfa2969a2 unsat 182.366 162.277 19.821 29.358 incorrect 9.825 52.614 40.186 41.819 0.242 0.286 34.232 55.134 73.355
3b5f922e28a18ed17be03f0fd3923ce8 unsat 1368.538 1388.542 113.877 160.289 795.762 504.893 512.229 2111.061 2112.5 191.621 348.491 380.991 738.176 102.121
4f888358cd62fe7bc602ea6882cdfc6d unsat 610.534 609.42 64.179 121.363 371.039 197.649 341.918 563.969 549.841 128.268 157.426 284.663 448.703 52.113
ed121f2f4679309b609ba475ccb79509 unsat timeout timeout failed 1122.873 timeout timeout 3377.326 timeout timeout 54.307 4650.85 2629.392 timeout timeout
2b5f3caa6d84857f4919513df087bbdf unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
709d0994d0c356b339b051a8e62d998a unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
b676ad852ca0867aef85be90753e5745 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
